Nombre;Equipo;Tiros;Tiros P.;Asis.;Reg. E.;Reg. F.;Goles;G. Ar.;G. F. Ar.;G. Iz.;G. Der.;G. Pen.;G. Cab.;G. B.P.;G.P.P.
Jon Bautista;RSO;6;3;0;1;0;1;1;0;1;0;0;0;0;0
Jon Guridi;RSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jonny;CEL;8;4;1;46;28;2;2;0;1;1;0;0;0;0
Jony;MGA;5;2;0;5;11;0;0;0;0;0;0;0;0;0
Jordi Alba;BAR;11;5;8;23;10;2;2;0;1;1;0;0;0;0
Jordi Amat;BET;3;1;0;18;4;0;0;0;0;0;0;0;0;1
Jorge Molina;GET;54;26;4;23;43;7;7;0;1;6;3;0;0;0
Jose Arnáiz;BAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0
José Lara;SEV;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Jozabed;CEL;16;5;4;6;4;0;0;0;0;0;0;0;0;0
Juan Cruz;MGA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Juanfran;ATM;1;0;1;7;7;0;0;0;0;0;0;0;0;0
Juanfran;DEP;16;7;1;47;25;0;0;0;0;0;0;0;0;0
Juanjo Narváez;BET;1;0;0;3;1;0;0;0;0;0;0;0;0;0
Juankar;MGA;0;0;0;6;5;0;0;0;0;0;0;0;0;0
Juanmi;RSO;28;13;2;11;16;8;8;0;0;4;0;1;0;0
Juanpe;GIR;17;11;1;4;0;5;5;0;1;0;0;4;0;0
Juanpi;MGA;12;4;2;9;14;0;0;0;0;0;0;0;0;0
Julio Gracia;BET;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Juncà;EIB;3;0;2;10;3;0;0;0;0;0;0;0;0;0
Jurado;ESP;9;2;3;35;23;0;0;0;0;0;0;0;0;0
Keko;MGA;11;5;2;10;8;0;0;0;0;0;0;0;0;0
Kepa;ATH;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kevin Soni;GIR;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Keylor Navas;RMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kike;EIB;55;27;1;13;17;8;8;0;6;1;0;1;0;0
Kiko Casilla;RMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Koke;ATM;21;14;4;20;7;4;3;1;0;2;0;0;0;0
Kondogbia;VAL;19;8;4;55;9;4;2;2;3;0;0;1;0;0
Kovačić;RMA;6;2;1;33;4;0;0;0;0;0;0;0;0;0
Krohn-Dehli;DEP;11;3;1;15;3;1;0;1;0;1;0;0;0;0
Kévin Rodrigues;RSO;10;3;2;14;10;1;1;0;1;0;0;0;0;1
Lacen;MGA;5;1;0;5;3;0;0;0;0;0;0;0;0;0
Laguardia;ALA;5;2;0;1;0;2;2;0;0;0;0;2;0;1
Lato;VAL;1;0;1;8;1;0;0;0;0;0;0;0;0;0
Llorente R.;RSO;21;7;0;16;2;3;3;0;0;0;0;2;0;0
Lobotka;CEL;6;3;0;44;4;0;0;0;0;0;0;0;0;0
Loren;BET;20;14;0;19;14;7;6;1;0;6;0;1;0;0
Lozano;GIR;13;8;0;11;8;1;0;1;0;1;0;0;0;0
Loïc Remy;GET;35;22;0;27;12;8;6;2;1;5;1;0;0;0
Lucas Boyé;CEL;4;2;0;9;8;0;0;0;0;0;0;0;0;0
Lucas Digne;BAR;2;1;2;3;3;0;0;0;0;0;0;0;0;0
Lucas Hernández;ATM;5;1;1;30;8;0;0;0;0;0;0;0;0;0
Lucas Pérez;DEP;41;26;6;32;38;8;8;0;7;0;3;1;0;0
Lucas Vázquez;RMA;25;17;7;36;30;4;4;0;1;2;0;1;0;0
Luis H. ;MGA;3;0;1;3;0;0;0;0;0;0;0;0;0;0
Luis Muriel;SEV;45;21;1;28;30;7;7;0;1;4;0;1;0;0
Luis Suárez;BAR;94;56;12;38;64;25;25;0;4;19;1;2;0;0
Luisinho;DEP;11;4;1;43;18;1;0;1;1;0;0;0;0;0
Léo Baptistão;ESP;63;28;3;30;50;8;8;0;1;4;0;2;0;0
M. Guerrero;LEG;27;12;3;9;13;4;4;0;1;1;0;1;0;0
M. Gómez;CEL;61;38;4;14;15;17;17;0;0;4;0;9;0;0
M. M. Dos Santos;LEG;1;1;0;1;1;0;0;0;0;0;0;0;0;0
M. Navarro;ESP;14;5;0;9;20;1;1;0;0;1;0;0;0;0
M. Trigueros;VIL;24;8;4;33;13;3;2;1;0;2;1;1;0;0
Maksím Kóval;DEP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mantovani;LEG;5;1;0;2;0;1;1;0;1;0;0;0;0;0
Manu García;ALA;21;8;0;18;9;3;3;0;1;1;0;1;0;0
Marc Roca;ESP;3;0;0;2;1;0;0;0;0;0;0;0;0;0
Marcelo;RMA;25;9;6;33;29;2;2;0;2;0;0;0;0;0
Marco Asensio;RMA;40;23;6;31;14;6;3;3;5;0;0;1;1;0
Marcos Llorente;RMA;6;0;0;7;2;0;0;0;0;0;0;0;0;0
Mario Gaspar;VIL;23;10;3;22;24;2;2;0;1;0;0;1;0;0
Markel Bergara;GET;14;9;1;2;0;4;3;1;1;1;0;1;0;0
Mathieu Flamini;GET;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Mathías Olivera;GET;1;1;0;2;1;1;1;0;0;0;0;1;0;0
Matías Aguirregaray;LPA;6;0;0;14;9;0;0;0;0;0;0;0;0;0
Mauro Arambarri;GET;13;3;1;13;11;1;0;1;0;0;0;0;0;0
Maxime Lestienne;MGA;11;1;1;10;8;0;0;0;0;0;0;0;0;0
Mazan;CEL;2;1;0;1;1;0;0;0;0;0;0;0;0;0
Melendo;ESP;5;2;1;8;7;0;0;0;0;0;0;0;0;0
Messi;BAR;153;96;12;185;72;34;26;8;32;2;2;0;6;0
Michel Macedo;LPA;6;3;1;14;8;0;0;0;0;0;0;0;0;0
Miguel Layún;SEV;15;5;0;8;3;2;2;0;0;2;0;0;0;0
Miguel Torres;MGA;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Miguel Ángel Rubio;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mikel Oyarzabal;RSO;49;32;5;40;42;12;11;1;10;2;0;0;0;0
Mikel Rico;ATH;11;1;0;10;8;0;0;0;0;0;0;0;0;0
Miquel;MGA;8;1;0;10;2;0;0;0;0;0;0;0;0;0
Modrić;RMA;26;8;6;48;15;1;0;1;0;1;0;0;0;0
Mojica;GIR;11;2;4;47;69;0;0;0;0;0;0;0;0;0
Molinero;GET;1;0;0;3;1;0;0;0;0;0;0;0;0;0
Momo;LPA;4;1;1;7;4;0;0;0;0;0;0;0;0;0
Montoya;VAL;5;5;4;19;14;0;0;0;0;0;0;0;0;0
Morales;LEV;45;25;8;91;93;10;10;0;3;6;3;0;0;0
Moyà;RSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mujaid Sadick;DEP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Muniain ;ATH;16;10;2;22;14;4;4;0;1;1;0;1;0;0
Muniesa;GIR;2;1;1;5;2;0;0;0;0;0;0;0;0;0
Munir;ALA;51;23;6;28;22;10;8;2;7;1;0;2;1;0
Murillo;VAL;1;0;0;3;0;0;0;0;0;0;0;0;0;0
Muñoz;LEG;5;2;1;3;0;0;0;0;0;0;0;0;0;0
N'Zonzi;SEV;15;5;2;13;3;1;0;1;0;1;0;0;0;0
N. Semedo;BAR;3;2;0;28;18;0;0;0;0;0;0;0;0;0
Nacho;RMA;8;4;0;6;4;3;3;0;2;1;0;0;0;1
Nacho Gil;LPA;4;3;1;10;11;0;0;0;0;0;0;0;0;0
Nahuel;BET;2;1;0;9;2;0;0;0;0;0;0;0;0;0
Naldo;ESP;1;0;0;2;0;0;0;0;0;0;0;0;0;0
Nano;LEV;6;2;0;2;2;0;0;0;0;0;0;0;0;0
Nemanja Maksimovic;VAL;7;2;0;6;4;0;0;0;0;0;0;0;0;0
Neto;VAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Nolito;SEV;33;18;5;27;27;4;4;0;0;2;0;1;0;0
