"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"118","Darko","LEG",1201,3,2,3,20,19,8,2,32,165,126,39,403,375,27,1,9,5,0,10,12,87,17,15,62,64,19,20,0.555555555555556,22,0.454545454545455,0
"120","David García","LPA",859,2,1,0,14,11,3,0,16,72,48,24,458,378,80,0,5,3,0,5,0,46,11,5,34,14,15,9,0.6,5,1,0
"121","David Lombán","EIB",996,3,1,1,5,9,0,0,16,96,32,64,449,331,118,0,3,1,0,0,0,55,8,8,21,11,44,20,0.333333333333333,0,0,0
"122","David López","ESP",3330,6,1,2,25,45,3,0,67,295,175,120,1914,1554,359,1,13,6,0,7,5,239,49,18,95,80,65,55,0.461538461538462,12,0.583333333333333,1
"123","David Simón","LPA",718,3,0,1,11,17,29,0,24,114,94,20,406,361,44,1,3,1,0,13,13,41,17,7,48,46,7,13,0.333333333333333,26,0.5,0
"124","David Soria","SEV",1265,1,0,0,1,0,0,0,1,8,2,6,307,121,186,0,0,0,0,0,0,118,0,1,2,0,5,1,0,0,0,0
"125","De la Bella","RSO",1529,4,0,6,17,20,68,0,36,147,106,41,818,731,86,1,5,1,1,9,8,74,22,14,61,45,25,16,0.2,17,0.529411764705882,0
"126","De Marcos","ATH",1663,5,1,4,10,17,58,0,28,137,99,38,709,624,83,2,12,8,2,11,8,86,21,7,49,50,21,17,0.666666666666667,19,0.578947368421053,0
"127","Dembélé","BAR",930,2,3,3,18,10,26,27,10,162,155,7,448,428,17,3,15,10,6,40,27,37,7,3,68,87,1,6,0.666666666666667,67,0.597014925373134,0
"129","Dídac","ESP",725,3,0,1,13,14,22,2,29,97,75,22,341,292,49,0,5,3,0,6,3,43,26,3,47,28,14,8,0.6,9,0.666666666666667,0
"130","Diego Costa","ATM",1048,6,3,19,19,22,2,0,17,199,141,58,313,300,10,3,18,10,3,15,17,26,11,6,51,90,25,33,0.555555555555556,32,0.46875,0
"131","Diego González","MGA",1432,5,1,1,3,27,7,0,27,131,69,62,481,396,84,1,13,3,0,1,2,49,19,8,31,38,34,28,0.230769230769231,3,0.333333333333333,0
"132","Diego López","ESP",854,1,0,0,1,1,0,0,0,3,1,2,231,49,182,0,0,0,0,0,0,83,0,0,0,1,2,0,0,0,0,0
"133","Diego Rolan","MGA",1944,0,5,19,48,28,27,1,33,341,288,53,572,538,31,3,30,17,0,42,49,107,25,8,123,165,11,42,0.566666666666667,91,0.461538461538462,1
"135","Diop","EIB",1206,7,0,0,26,36,5,0,31,193,122,71,522,444,77,1,11,1,0,8,3,87,23,8,61,61,37,34,0.0909090909090909,11,0.727272727272727,0
"136","Dmitrovic","EIB",3240,1,0,0,5,0,0,0,4,37,21,16,1065,131,933,1,0,0,0,5,1,337,4,0,12,9,15,1,0,6,0.833333333333333,1
"138","Duarte","ALA",2141,8,0,1,35,48,54,0,76,258,206,52,655,514,141,0,4,0,2,10,5,110,40,36,118,88,28,24,0,15,0.666666666666667,1
"139","El Zhar","LEG",1981,2,2,5,35,30,58,12,11,263,218,45,565,539,26,0,30,14,2,49,44,118,6,5,94,124,14,31,0.466666666666667,93,0.526881720430108,1
"142","Emre Çolak","DEP",1452,4,1,2,24,20,44,30,24,191,173,18,792,682,101,9,15,8,1,33,15,110,19,5,80,93,2,16,0.533333333333333,48,0.6875,0
"144","Enes Ünal","VIL",1719,1,6,13,35,42,5,0,15,313,179,134,420,414,4,2,39,23,3,9,18,39,11,4,56,123,59,75,0.58974358974359,27,0.333333333333333,0
"145","Enis Bardhi","LEV",1580,9,9,3,25,39,22,42,39,224,205,19,618,546,70,2,27,13,1,23,18,93,26,13,87,118,4,15,0.481481481481481,41,0.560975609756098,0
