Nombre;Equipo;Cen.;Cor.;Ent.;Due.;D.C.;D.A.;Pas.;P.C.;P.L.;P.H.;GxT;GxT F.A.;GxT D.A.;GxT Iz.;GxT Der.;GxT Cab.;GxT B.P.
Guido Pizarro;SEV;0;0;75;304;231;73;1.247;1.171;75;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Guilherme ;DEP;18;20;80;351;275;76;1.407;1.238;167;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Guillermo Maripán;ALA;0;0;28;130;72;58;458;372;84;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gumbau;LEG;1;1;35;160;120;40;522;426;94;2;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Gálvez;LPA;2;0;60;245;158;87;1.146;905;241;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
H.Moreno;RSO;0;0;7;66;26;40;502;421;80;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Halilović;LPA;58;26;11;140;123;17;445;415;30;0;0,7;0,0;0,0;0,0;0,0;0,0;0,0
Hermoso;ESP;0;2;15;158;70;88;955;661;294;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Hernán;LPA;0;1;18;54;42;12;238;233;5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Hernán Pérez;ALA;17;8;15;116;93;23;195;175;20;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Hernán Toledo;LPA;20;0;5;96;93;3;151;145;6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Hugo Mallo;CEL;113;2;84;335;222;113;1.745;1.470;274;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Héctor;ALA;0;0;1;1;1;0;1;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
I. Martínez;ATH;19;0;42;264;137;127;1.469;1.143;322;4;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Iago Aspas;CEL;52;29;26;330;274;56;1.234;1.152;73;9;7,8;0,0;0,0;0,0;0,0;0,0;0,0
Iago Herrerín;ATH;0;0;2;10;6;4;260;47;213;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ibai;ALA;78;79;19;233;211;22;818;701;110;7;3,1;0,0;0,0;0,0;0,0;0,0;0,0
Ideye;MGA;1;0;2;123;60;63;158;152;6;0;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Igor Zubeldia;RSO;2;0;39;184;122;62;940;832;106;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Illarramendi;RSO;43;7;85;339;297;42;2.516;2.292;217;7;4,0;0,0;0,0;0,0;0,0;0,0;0,0
