Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Javi López;ESP;4;0;0;0;20;20;0;0;1;8,0
Jefferson Lerma;LEV;16;0;0;0;51;55;0;0;1;41,0
Jesús Navas;SEV;2;0;0;8;24;16;0;1;4;4,0
Jesús Vallejo;RMA;0;0;0;1;2;2;0;0;0;0,0
Joan Jordán;EIB;1;0;1;5;17;37;0;0;1;6,0
Joaquín;BET;7;0;0;5;40;21;1;0;0;8,0
Johannes Geis;SEV;0;0;0;0;1;9;0;0;1;0,0
Jon Bautista;RSO;0;0;0;1;1;6;0;0;1;0,0
Jon Guridi;RSO;0;0;0;0;1;0;0;0;0;0,0
Jonny;CEL;10;0;0;1;37;50;1;1;0;21,0
Jony;MGA;1;0;0;0;2;2;0;0;0;1,0
Jordi Alba;BAR;8;0;0;16;21;35;0;0;1;9,0
Jordi Amat;BET;6;1;1;0;10;38;0;2;1;18,0
Jorge Molina;GET;10;0;0;39;61;54;6;0;5;19,0
Jose Arnáiz;BAR;0;0;0;0;0;1;0;0;1;0,0
José Lara;SEV;0;0;0;0;0;0;0;0;0;0,0
Jozabed;CEL;7;0;0;2;10;14;0;0;1;7,0
Juan Cruz;MGA;0;0;0;0;0;0;0;0;0;0,0
Juanfran;ATM;3;0;0;5;9;32;0;0;0;10,0
Juanfran;DEP;3;0;0;1;32;24;0;1;0;5,0
Juanjo Narváez;BET;0;0;0;0;16;4;0;0;0;0,0
Juankar;MGA;2;0;0;1;8;9;0;0;0;2,0
Juanmi;RSO;3;0;0;16;23;20;1;1;4;2,0
Juanpe;GIR;7;0;0;1;7;48;1;0;0;11,0
Juanpi;MGA;1;0;0;0;15;4;0;0;0;2,0
Julio Gracia;BET;0;0;0;0;0;0;0;0;0;0,0
Juncà;EIB;3;0;0;0;7;14;0;0;1;6,0
Jurado;ESP;1;0;0;0;34;6;0;1;0;0,0
Keko;MGA;3;0;0;6;28;35;0;0;1;6,0
Kepa;ATH;4;0;0;0;7;1;0;1;0;1,0
Kevin Soni;GIR;0;0;0;0;0;1;0;0;0;0,0
Keylor Navas;RMA;1;0;0;0;3;1;0;1;0;1,0
Kike;EIB;5;0;0;13;76;47;0;0;10;10,0
Kiko Casilla;RMA;0;0;0;0;0;0;0;0;0;0,0
Koke;ATM;3;0;0;1;51;24;0;0;1;5,0
Kondogbia;VAL;11;0;1;1;53;57;0;1;4;26,0
Kovačić;RMA;2;0;0;0;20;10;1;0;1;4,0
Krohn-Dehli;DEP;2;0;0;2;5;12;0;0;0;2,0
Kévin Rodrigues;RSO;2;0;0;0;15;23;0;0;0;4,0
Lacen;MGA;3;0;0;0;11;20;0;0;2;7,0
Laguardia;ALA;3;0;0;0;5;10;0;1;0;4,0
Lato;VAL;4;0;0;1;8;10;0;0;0;6,0
Llorente R.;RSO;8;0;1;0;27;35;0;2;4;15,0
Lobotka;CEL;2;0;0;0;47;42;0;1;3;3,0
Loren;BET;3;0;0;5;28;26;0;0;0;7,0
Lozano;GIR;0;0;0;3;10;18;0;0;1;0,0
Loïc Remy;GET;3;0;1;12;19;22;2;0;4;10,0
Lucas Boyé;CEL;2;0;0;0;1;11;0;0;1;4,0
Lucas Digne;BAR;2;0;0;2;7;12;0;1;3;3,0
Lucas Hernández;ATM;6;0;1;4;46;31;0;0;1;11,0
Lucas Pérez;DEP;3;0;0;37;33;25;3;0;2;3,0
