Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Sanabria;BET;84700847;17;45%;5;13%;8;21%;12;32%;0;0;0;8;0;0;17
Sandro;SEV;71500715;13;34%;3;8%;7;18%;10;26%;0;0;0;0;0;0;17
Sansone;VIL;62700627;18;47%;1;3%;5;13%;17;45%;1;0;0;5;1;0;11
Santi Mina;VAL;1549001.549;32;84%;7;18%;17;45%;25;66%;4;0;0;12;1;0;23
Savić;ATM;2299002.299;27;71%;25;66%;26;68%;2;5%;6;0;0;0;0;1;15
Saúl;ATM;3157003.157;36;95%;33;87%;35;92%;3;8%;9;0;0;2;0;0;22
Saša Lukić;LEV;99600996;16;42%;6;16%;12;32%;10;26%;4;0;0;0;0;0;23
Serantes;LEG;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;2
Sergi Enrich;EIB;1330001.330;19;50%;8;21%;14;37%;11;29%;2;0;0;3;0;1;23
Sergi Gómez;CEL;2682002.682;33;87%;27;71%;31;82%;6;16%;3;0;0;1;0;1;49
Sergi Roberto;BAR;2224002.224;30;79%;17;45%;24;63%;13;34%;3;2;0;1;0;0;12
Sergio;BAR;2600002.600;31;82%;22;58%;30;79%;9;24%;8;0;0;1;0;0;23
Sergio A.;CEL;1475001.475;17;45%;16;42%;16;42%;1;3%;0;0;0;0;0;0;29
Sergio León;BET;1981001.981;31;82%;12;32%;23;61%;19;50%;5;0;0;11;0;0;37
Sergio Mora;GET;79900799;26;68%;2;5%;6;16%;24;63%;5;0;0;0;0;0;10
Sergio Ramos;RMA;2290002.290;26;68%;23;61%;26;68%;3;8%;7;2;2;4;2;1;31
Sergio Rico;SEV;2155002.155;24;63%;23;61%;23;61%;1;3%;2;0;0;0;0;0;39
Sidnei;DEP;1779001.779;21;55%;19;50%;21;55%;2;5%;4;0;0;1;0;0;34
Simon Kjaer;SEV;1571001.571;20;53%;16;42%;18;47%;4;11%;3;0;0;2;0;0;30
Simone Zaza;VAL;2078002.078;33;87%;12;32%;23;61%;21;55%;8;1;1;13;0;0;22
Siovas;LEG;2061002.061;24;63%;19;50%;24;63%;5;13%;8;1;1;1;0;0;27
Sisto;CEL;2534002.534;34;89%;10;26%;31;82%;24;63%;2;0;0;5;0;0;38
Sivera;ALA;630063;1;3%;0;0%;1;3%;1;3%;0;0;0;0;0;0;0
Sobrino;ALA;1461001.461;28;74%;9;24%;15;39%;19;50%;5;0;0;3;0;0;25
Stuani;GIR;2722002.722;33;87%;18;47%;32;84%;15;39%;8;0;0;21;5;0;44
Success;MGA;49600496;9;24%;1;3%;7;18%;8;21%;0;0;0;0;0;0;10
Sulley Muntari;DEP;40000400;7;18%;0;0%;6;16%;7;18%;3;0;0;0;0;0;9
Susaeta;ATH;2268002.268;34;89%;12;32%;26;68%;22;58%;2;0;0;3;0;0;34
Szymanowski;LEG;1064001.064;13;34%;9;24%;13;34%;4;11%;1;0;0;2;1;0;12
T. Pina;ALA;2392002.392;30;79%;20;53%;28;74%;10;26%;8;0;0;1;0;0;32
Tana;LPA;1553001.553;24;63%;8;21%;16;42%;16;42%;2;0;0;1;0;0;30
Tello;BET;1684001.684;32;84%;9;24%;16;42%;23;61%;2;0;0;4;0;0;31
Ter Stegen;BAR;3330003.330;37;97%;37;97%;37;97%;0;0%;0;0;0;0;0;0;28
Theo Hernández;RMA;96100961;13;34%;8;21%;10;26%;5;13%;1;0;0;0;0;0;11
Thomas;ATM;2379002.379;33;87%;18;47%;28;74%;15;39%;6;0;0;3;0;0;13
Timor;GIR;92200922;17;45%;7;18%;10;26%;10;26%;8;0;0;2;0;0;13
Tito L. R.;LEG;60700607;9;24%;6;16%;6;16%;3;8%;0;0;0;0;0;0;11
Toni Kroos;RMA;2267002.267;27;71%;18;47%;26;68%;9;24%;4;0;0;5;0;0;32
Toño;LEV;1080001.080;12;32%;12;32%;12;32%;0;0%;2;0;0;0;0;0;19
Toño Ramírez;RSO;31500315;4;11%;3;8%;3;8%;1;3%;0;0;0;0;0;0;6
Tytoń;DEP;970097;2;5%;1;3%;1;3%;1;3%;0;0;0;0;0;0;4
Unai Núñez;ATH;2942002.942;33;87%;32;84%;33;87%;1;3%;11;0;0;1;0;0;42
Varane;RMA;2323002.323;27;71%;25;66%;27;71%;2;5%;2;0;0;0;0;0;28
Vermaelen;BAR;1018001.018;14;37%;10;26%;12;32%;4;11%;3;0;0;0;0;0;10
Vesga;ATH;80700807;12;32%;6;16%;11;29%;6;16%;6;0;0;1;0;0;15
Vezo;VAL;1554001.554;19;50%;16;42%;17;45%;3;8%;1;1;1;0;0;0;17
Vicente Gómez;LPA;1525001.525;25;66%;9;24%;17;45%;16;42%;3;0;0;0;0;0;37
Viera;LPA;1994001.994;23;61%;22;58%;23;61%;1;3%;4;0;0;4;1;0;46
Vietto ;VAL;79500795;20;53%;1;3%;9;24%;19;50%;2;0;0;2;0;0;9
Vigaray;ALA;89300893;12;32%;7;18%;9;24%;5;13%;6;0;0;0;0;0;22
Vitolo;ATM;1309001.309;23;61%;7;18%;16;42%;16;42%;1;1;0;2;0;0;25
Vrsaljko;ATM;1697001.697;21;55%;16;42%;19;50%;5;13%;6;0;0;0;0;0;13
Víctor López;ALA;610061;1;3%;0;0%;1;3%;1;3%;0;0;0;0;0;0;0
Víctor Ruiz;VIL;2417002.417;27;71%;26;68%;27;71%;1;3%;9;1;1;2;0;0;29
Víctor S.;ESP;2463002.463;30;79%;22;58%;29;76%;8;21%;13;0;0;0;0;0;31
Wakaso;ALA;1097001.097;21;55%;5;13%;12;32%;16;42%;7;0;0;0;0;0;21
Wass;CEL;2938002.938;35;92%;24;63%;34;89%;11;29%;4;0;0;4;0;0;53
Williams;ATH;2851002.851;38;100%;24;63%;31;82%;14;37%;2;0;0;7;0;0;41
Willian José;RSO;2780002.780;34;89%;21;55%;32;84%;13;34%;4;0;0;15;3;0;44
Xabi Prieto;RSO;1940001.940;26;68%;11;29%;24;63%;15;39%;1;0;0;3;1;0;41
Ximo;LPA;2606002.606;31;82%;28;74%;29;76%;3;8%;11;0;0;0;0;1;49
Yeray;ATH;67500675;8;21%;7;18%;7;18%;1;3%;2;0;0;0;0;0;10
Yerry Mina ;BAR;37000370;5;13%;4;11%;4;11%;1;3%;2;0;0;0;0;0;7
Yoel;EIB;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;0
Zaldúa;LEG;2560002.560;30;79%;25;66%;29;76%;5;13%;9;1;0;1;0;0;31
Zdravko Kuzmanovic;MGA;48100481;8;21%;3;8%;7;18%;5;13%;0;2;2;0;0;0;13
Zurutuza;RSO;2248002.248;31;82%;15;39%;26;68%;16;42%;2;0;0;0;0;0;39
Álvaro ;VIL;2899002.899;33;87%;30;79%;32;84%;3;8%;13;1;1;0;0;0;45
Álvaro Jiménez;GET;52400524;13;34%;2;5%;5;13%;11;29%;3;1;1;1;0;0;9
Álvaro Medrán;ALA;1014001.014;18;47%;7;18%;10;26%;11;29%;2;0;0;2;0;0;18
Álvaro Odriozola;RSO;2917002.917;35;92%;29;76%;32;84%;6;16%;3;0;0;0;0;0;56
Ángel ;GET;2298002.298;33;87%;13;34%;26;68%;20;53%;6;0;0;13;0;0;14
Ángel Correa;ATM;2262002.262;37;97%;6;16%;27;71%;31;82%;3;1;1;8;0;0;9
